SettlementPoint,Year,Month,AveragePrice
LZ_LCRA,2018,12,30.58266129032258
LZ_LCRA,2019,1,24.93630376344086
LZ_LCRA,2019,2,21.666979166666664
LZ_LCRA,2019,3,27.649313593539702
LZ_LCRA,2019,4,23.31476388888889
LZ_LCRA,2019,5,24.508682795698924
LZ_LCRA,2019,6,24.519541666666665
LZ_LCRA,2019,7,29.74791666666667
LZ_LCRA,2019,8,126.67076612903226
LZ_LCRA,2019,9,82.46723611111112
LZ_LCRA,2019,10,29.0158064516129
LZ_LCRA,2019,11,24.485222222222223
LZ_LCRA,2019,12,19.456881720430108
LZ_NORTH,2016,1,19.187997311827957
LZ_NORTH,2016,2,15.462212643678162
LZ_NORTH,2016,3,17.461507402422612
LZ_NORTH,2016,4,19.08763888888889
LZ_NORTH,2016,5,18.182889784946237
LZ_NORTH,2016,6,23.562680555555556
LZ_NORTH,2016,7,27.41577956989247
LZ_NORTH,2016,8,30.148575268817204
LZ_NORTH,2016,9,26.605861111111114
LZ_NORTH,2016,10,24.53266129032258
LZ_NORTH,2016,11,18.830513888888888
LZ_NORTH,2016,12,25.286250000000003
LZ_NORTH,2017,1,23.60302419354839
LZ_NORTH,2017,2,19.550014880952382
LZ_NORTH,2017,3,21.83940780619112
LZ_NORTH,2017,4,21.975805555555556
LZ_NORTH,2017,5,24.557513440860216
LZ_NORTH,2017,6,26.893736111111114
LZ_NORTH,2017,7,31.18684139784946
LZ_NORTH,2017,8,27.060362903225805
LZ_NORTH,2017,9,23.96840277777778
LZ_NORTH,2017,10,21.938427419354838
LZ_NORTH,2017,11,22.263166666666667
LZ_NORTH,2017,12,21.408131720430106
LZ_NORTH,2018,1,37.72852150537634
LZ_NORTH,2018,2,21.84046130952381
LZ_NORTH,2018,3,22.64055181695828
LZ_NORTH,2018,4,24.366888888888887
LZ_NORTH,2018,5,37.45188172043011
LZ_NORTH,2018,6,31.30161111111111
LZ_NORTH,2018,7,79.84618279569892
LZ_NORTH,2018,8,31.971586021505377
LZ_NORTH,2018,9,27.885847222222225
LZ_NORTH,2018,10,31.645416666666666
LZ_NORTH,2018,11,31.974124999999997
LZ_NORTH,2018,12,31.13194892473118
LZ_NORTH,2019,1,24.367836021505376
LZ_NORTH,2019,2,20.851145833333334
LZ_NORTH,2019,3,28.594037685060563
LZ_NORTH,2019,4,23.718430555555557
LZ_NORTH,2019,5,24.011451612903226
LZ_NORTH,2019,6,25.20791666666667
LZ_NORTH,2019,7,29.83494623655914
LZ_NORTH,2019,8,126.60091397849463
LZ_NORTH,2019,9,80.77415277777777
LZ_NORTH,2019,10,28.732943548387098
LZ_NORTH,2019,11,24.153611111111108
LZ_NORTH,2019,12,19.006801075268818
LZ_RAYBN,2016,1,19.447943548387098
LZ_RAYBN,2016,2,15.400431034482759
LZ_RAYBN,2016,3,17.117240915208615
LZ_RAYBN,2016,4,18.85536111111111
LZ_RAYBN,2016,5,18.320994623655913
LZ_RAYBN,2016,6,23.315944444444444
LZ_RAYBN,2016,7,27.471075268817202
LZ_RAYBN,2016,8,30.149758064516128
LZ_RAYBN,2016,9,26.47026388888889
LZ_RAYBN,2016,10,24.452513440860212
LZ_RAYBN,2016,11,18.875319444444443
LZ_RAYBN,2016,12,25.319556451612904
LZ_RAYBN,2017,1,23.39010752688172
LZ_RAYBN,2017,2,20.369151785714287
LZ_RAYBN,2017,3,21.907160161507402
LZ_RAYBN,2017,4,22.213430555555554
LZ_RAYBN,2017,5,24.001330645161293
LZ_RAYBN,2017,6,26.125041666666664
LZ_RAYBN,2017,7,30.760497311827958
LZ_RAYBN,2017,8,26.8248252688172
LZ_RAYBN,2017,9,23.535680555555555
LZ_RAYBN,2017,10,21.379932795698924
LZ_RAYBN,2017,11,21.829180555555556
LZ_RAYBN,2017,12,21.31260752688172
LZ_RAYBN,2018,1,39.37014784946236
LZ_RAYBN,2018,2,22.403169642857144
LZ_RAYBN,2018,3,23.8057065948856
LZ_RAYBN,2018,4,27.198874999999997
LZ_RAYBN,2018,5,40.95125
LZ_RAYBN,2018,6,31.94558333333333
LZ_RAYBN,2018,7,84.90190860215054
LZ_RAYBN,2018,8,32.51872311827957
LZ_RAYBN,2018,9,27.68088888888889
LZ_RAYBN,2018,10,30.624959677419355
LZ_RAYBN,2018,11,33.452444444444446
LZ_RAYBN,2018,12,31.55353494623656
LZ_RAYBN,2019,1,24.411491935483873
LZ_RAYBN,2019,2,21.066279761904763
LZ_RAYBN,2019,3,29.809798115746972
LZ_RAYBN,2019,4,24.998305555555554
LZ_RAYBN,2019,5,24.78815860215054
LZ_RAYBN,2019,6,25.45851388888889
LZ_RAYBN,2019,7,30.029717741935485
LZ_RAYBN,2019,8,126.89788978494623
LZ_RAYBN,2019,9,80.6986388888889
LZ_RAYBN,2019,10,28.554381720430108
LZ_RAYBN,2019,11,24.517569444444447
LZ_RAYBN,2019,12,19.085067204301076
LZ_SOUTH,2016,1,19.481720430107526
LZ_SOUTH,2016,2,15.935862068965518
LZ_SOUTH,2016,3,19.52114401076716
LZ_SOUTH,2016,4,20.738
LZ_SOUTH,2016,5,20.691747311827957
LZ_SOUTH,2016,6,27.471652777777777
LZ_SOUTH,2016,7,28.88958333333333
LZ_SOUTH,2016,8,31.823306451612904
LZ_SOUTH,2016,9,28.76201388888889
LZ_SOUTH,2016,10,30.03103494623656
LZ_SOUTH,2016,11,20.63338888888889
LZ_SOUTH,2016,12,26.32684139784946
LZ_SOUTH,2017,1,25.155483870967743
LZ_SOUTH,2017,2,21.793690476190477
LZ_SOUTH,2017,3,26.528209959623148
LZ_SOUTH,2017,4,28.549888888888887
LZ_SOUTH,2017,5,29.979731182795696
LZ_SOUTH,2017,6,36.78344444444445
LZ_SOUTH,2017,7,34.19329301075269
LZ_SOUTH,2017,8,33.45784946236559
LZ_SOUTH,2017,9,28.33034722222222
LZ_SOUTH,2017,10,28.464018817204302
LZ_SOUTH,2017,11,27.86572222222222
LZ_SOUTH,2017,12,25.40422043010753
LZ_SOUTH,2018,1,46.13256720430107
LZ_SOUTH,2018,2,25.19703869047619
LZ_SOUTH,2018,3,26.759973082099595
LZ_SOUTH,2018,4,28.18697222222222
LZ_SOUTH,2018,5,41.27442204301075
LZ_SOUTH,2018,6,32.25868055555556
LZ_SOUTH,2018,7,80.44756720430107
LZ_SOUTH,2018,8,33.69063172043011
LZ_SOUTH,2018,9,28.38376388888889
LZ_SOUTH,2018,10,32.12697580645161
LZ_SOUTH,2018,11,33.54448611111111
LZ_SOUTH,2018,12,32.11272849462365
LZ_SOUTH,2019,1,27.057903225806452
LZ_SOUTH,2019,2,23.728958333333335
LZ_SOUTH,2019,3,30.52948855989233
LZ_SOUTH,2019,4,27.14783333333333
LZ_SOUTH,2019,5,27.210994623655914
LZ_SOUTH,2019,6,27.259597222222222
LZ_SOUTH,2019,7,31.132163978494624
LZ_SOUTH,2019,8,127.1090188172043
LZ_SOUTH,2019,9,81.00911111111111
LZ_SOUTH,2019,10,32.942110215053766
